Name;Symbol;Start Date;Hist.;Category;Exchange;Market;Currency;Type;Sector;Full Name
STOEHR;D:STR;03.01.1983;1983;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Personal Goods;Stoehr
STUDIO BABELSBERG;D:BG1A;29.04.2005;2005;Equities;Hamburg;Germany;Euro;Equity;Media;Studio Babelsberg
STUDIO BABELSBERG (XET);D:BG1X;29.04.2005;2005;Equities;XETRA;Germany;Euro;Equity;Media;Studio Babelsberg (XETRA)
SUESS MICROTEC;D:SMHN;17.05.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Electronic and Electrical Equipment;Suess Microtec
SUESS MICROTEC (XET);D:SMHX;19.05.1999;1999;Equities;XETRA;Germany;Euro;Equity;Electronic and Electrical Equipment;Suess Microtec (XETRA)
SUNLINE;D:SU3;19.10.2005;2005;Equities;Stuttgart;Germany;Euro;Equity;Alternative Energy;Sunline
SURIKATE MITTELSTANDS;D:SASN;24.10.2007;2007;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Surikate Mittelstands
SURTECO;D:SUR;20.10.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Household Goods and Home Construction;Surteco
SURTECO (XET);D:SURX;20.10.1999;1999;Equities;XETRA;Germany;Euro;Equity;Household Goods and Home Construction;Surteco (XETRA)
SYGNIS;D:LIO1;10.08.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Pharmaceuticals and Biotechnology;Sygnis
SYGNIS PHARMA (XET);D:LIOX;10.08.2000;2000;Equities;XETRA;Germany;Euro;Equity;Pharmaceuticals and Biotechnology;Sygnis Pharma (XETRA)
SYRAKUS HOLDING;D:HZH;17.04.2003;2003;Equities;Berlin;Germany;Euro;Equity;Financial Services (Sector);Syrakus Holding
SYZYGY;D:SYZ;05.10.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Syzygy
SYZYGY (XET);D:SYZX;05.10.2000;2000;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Syzygy (XETRA)
TANTALUS RARE EARTHS;D:TAEN;08.01.2010;2010;Equities;Duesseldorf;Germany;Euro;Equity;Mining;Tantalus Rare Earths
TC UNTGKT.;D:TCU;15.11.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Leisure Goods;TC Unterhaltungselektronik
TDMI;D:ARX;22.01.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Tdmi
TECHNOTRANS;D:TTR1;09.03.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Industrial Engineering;Technotrans
TECHNOTRANS (XET);D:TTRX;12.10.1998;1998;Equities;XETRA;Germany;Euro;Equity;Industrial Engineering;Technotrans (XETRA)
TELEPLAN INTL.;D:TPL;20.11.1998;1998;Equities;Berlin;Germany;Euro;Equity;Software and Computer Services;Teleplan International
TELES;D:TLI;29.06.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Teles
TELES (XET);D:TLIX;12.10.1998;1998;Equities;XETRA;Germany;Euro;Equity;Software and Computer Services;Teles (XETRA)
TELESERVICE HOLDING;D:TH51;21.08.2012;2012;Equities;Munich;Germany;Euro;Equity;Mobile Telecommunications;Teleservice Holding
TF BANK;D:6TF;16.09.2015;2015;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Banks;TF Bank
TIANBAO HOLDINGS;D:3TB1;28.02.2013;2013;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Household Goods and Home Construction;Tianbao Holdings
TIB TERRAIN IM.& BETS.;D:T21;02.10.2007;2007;Equities;Munich;Germany;Euro;Equity;Financial Services (Sector);TIB Terrain Immobilien and Beteiligungs
TINTBRIGHT;D:TBR;24.01.2014;2014;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Personal Goods;Tintbright
TISCON;D:TIS;13.10.1999;1999;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Tiscon
TOKUGAWA;D:T1W;13.12.2006;2006;Equities;Hamburg;Germany;Euro;Equity;Financial Services (Sector);Tokugawa
TOM TAILOR HOLDING;D:TTI;25.03.2010;2010;Equities;Deutsche Boerse AG;Germany;Euro;Equity;General Retailers;Tom Tailor Holding
TOM TAILOR HOLDING (XET);D:TTIX;25.03.2010;2010;Equities;XETRA;Germany;Euro;Equity;General Retailers;Tom Tailor Holding (XETRA)
TONKENS AGRAR;D:GTKG;06.07.2010;2010;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Food Producers;Tonkens Agrar
TONKENS AGRAR (XET);D:GTGK;07.07.2010;2010;Equities;XETRA;Germany;Euro;Equity;Food Producers;Tonkens Agrar (XETRA)
TRADE & VALUE;D:TAV;09.11.2004;2004;Equities;Hamburg;Germany;Euro;Equity;Financial Services (Sector);Trade and Value
TRADEGATE;D:T2G;11.10.2006;2006;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Financial Services (Sector);Tradegate
TRANSTEC;D:TTC;02.04.1998;1998;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Technology Hardware and Equipment;Transtec
TRAVEL24.COM;D:TVD6;14.03.2000;2000;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;TRAVEL24 Com
TRIAS FUND AS;D:16T;29.12.2015;2015;Equities;Hamburg;Germany;Euro;Equity;Unclassified;Trias Fund AS
TRIG SOCIAL MEDIA;D:TRIG;17.09.2014;2014;Equities;Deutsche Boerse AG;Germany;Euro;Equity;Software and Computer Services;Trig Social Media
